VIN_NO,ContractStartDate,MaturityDate,TerminationDate,SaleDate,TerminationType,PurchasedBy,PurchasingRegion,ModelYear,TrimName,ModelName,SalesChannel,CarAccident,InspectedDamage_NotRepaired,RepairCost,Odometer,PurchasePrice,MSRP
5380,2015-07-31,2019-07-31,2019-06-30,2019-07-31,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_A,F,No,1100,NULL,82000,16000,43000
5381,2015-09-30,2018-09-30,2018-10-31,2019-03-31,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_A,H,Major,600,NULL,73000,15000,44000
5382,2015-10-31,2019-10-31,2019-09-30,2019-10-31,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_2,MODEL_A,H,Moderate,300,600,68000,12000,43000
5383,2015-02-28,2019-02-28,2019-01-31,2019-02-28,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_A,F,No,6200,NULL,107000,16000,43000
5384,2015-08-31,2019-08-31,2019-09-30,2019-11-30,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_2,MODEL_A,H,No,3600,600,60000,11000,37000
5385,2015-06-30,2019-06-30,2019-06-30,2019-07-31,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_2,MODEL_A,H,No,1100,500,47000,15000,41000
5386,2015-10-31,2019-10-31,2018-11-30,2019-01-31,Terminated Prior to Maturity Date,Independent Retailer,2,2001,TRIM_2,MODEL_A,H,Major,1000,500,56000,16000,41000
5387,2015-05-31,2019-05-31,2019-05-31,2019-07-31,Terminated at End of Maturity,Independent Retailer,1,2001,TRIM_2,MODEL_A,H,No,0,400,71000,15000,44000
5388,2015-02-28,2019-02-28,2019-01-31,2019-02-28,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_A,E,Major,1600,NULL,86000,15000,42000
5389,2015-02-28,2019-02-28,2019-02-28,2019-04-30,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_A,H,No,1400,NULL,76000,14000,43000
5390,2015-06-30,2019-06-30,2019-07-31,2019-08-31,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_A,E,Moderate,1100,NULL,100000,14000,45000
5391,2015-03-31,2019-03-31,2019-03-31,2019-03-31,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_A,G,Moderate,300,NULL,37000,17000,38000
5392,2015-05-31,2018-08-31,2018-06-30,2018-10-31,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_2,MODEL_A,H,No,1800,500,93000,17000,41000
5393,2015-05-31,2019-05-31,2019-05-31,2019-06-30,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_A,H,Moderate,0,NULL,76000,14000,37000
5394,2015-04-30,2019-04-30,2019-01-31,2019-03-31,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_2,MODEL_A,H,No,NULL,600,58000,16000,42000
