VIN_NO,TYPE,COLOUR
337,Upholstery Type,BLACK
337,Exterior Color,BLUE
338,Upholstery Type,UNDEF
338,Exterior Color,BLUE
339,Upholstery Type,BLACK
339,Exterior Color,BLACK
340,Exterior Color,BLACK
340,Upholstery Type,BROWN
341,Upholstery Type,BLACK
341,Exterior Color,GREY
342,Exterior Color,RED
342,Upholstery Type,BROWN
343,Exterior Color,BLUE
343,Upholstery Type,BROWN
344,Upholstery Type,RED
344,Exterior Color,BLACK
345,Upholstery Type,BROWN
345,Exterior Color,WHITE
346,Exterior Color,GREY
346,Upholstery Type,BLACK
347,Upholstery Type,BROWN
347,Exterior Color,BLACK
348,Exterior Color,WHITE
348,Upholstery Type,BROWN
349,Upholstery Type,BLACK
349,Exterior Color,WHITE
350,Exterior Color,GREY
350,Upholstery Type,BLACK
351,Upholstery Type,BROWN
351,Exterior Color,BLACK
352,Upholstery Type,UNDEF
352,Exterior Color,BLUE
353,Upholstery Type,BEIGE
353,Exterior Color,BLACK
354,Exterior Color,BLACK
354,Upholstery Type,BROWN
355,Upholstery Type,BLACK
355,Exterior Color,BLACK
356,Upholstery Type,UNDEF
356,Exterior Color,WHITE
357,Upholstery Type,BROWN
357,Exterior Color,GREY
358,Upholstery Type,BROWN
358,Exterior Color,GREY
359,Upholstery Type,BROWN
359,Exterior Color,BLUE
360,Upholstery Type,UNDEF
360,Exterior Color,BLACK
361,Upholstery Type,BROWN
361,Exterior Color,WHITE
362,Exterior Color,BLACK
362,Upholstery Type,BLACK
363,Exterior Color,UNDEF
363,Upholstery Type,BLACK
364,Upholstery Type,BLACK
364,Exterior Color,SILVER
365,Exterior Color,SILVER
365,Upholstery Type,BLACK
366,Upholstery Type,UNDEF
366,Exterior Color,WHITE
367,Upholstery Type,BROWN
367,Exterior Color,GREY
368,Exterior Color,BLUE
368,Upholstery Type,BROWN
369,Upholstery Type,UNDEF
369,Exterior Color,WHITE
370,Upholstery Type,BLACK
370,Exterior Color,RED
371,Exterior Color,BLACK
371,Upholstery Type,RED
372,Upholstery Type,BLACK
372,Exterior Color,BLACK
373,Exterior Color,GREY
373,Upholstery Type,BLACK
374,Upholstery Type,BLACK
374,Exterior Color,WHITE
375,Exterior Color,BLACK
375,Upholstery Type,UNDEF
376,Upholstery Type,BEIGE
376,Exterior Color,BLACK
377,Upholstery Type,BLACK
377,Exterior Color,WHITE
378,Exterior Color,BLACK
378,Upholstery Type,BLACK
379,Exterior Color,WHITE
379,Upholstery Type,RED
380,Upholstery Type,BLACK
380,Exterior Color,BLACK
381,Exterior Color,BLACK
381,Upholstery Type,RED
382,Upholstery Type,BROWN
382,Exterior Color,WHITE
383,Upholstery Type,BLACK
383,Exterior Color,BLACK
384,Upholstery Type,BLACK
384,Exterior Color,BLACK
385,Exterior Color,UNDEF
385,Upholstery Type,BROWN
386,Upholstery Type,RED
386,Exterior Color,WHITE
387,Exterior Color,RED
387,Upholstery Type,BLACK
388,Upholstery Type,RED
388,Exterior Color,GREY
389,Upholstery Type,BLACK
389,Exterior Color,BLACK
390,Upholstery Type,BLACK
390,Exterior Color,WHITE
391,Upholstery Type,BLACK
391,Exterior Color,WHITE
392,Upholstery Type,BROWN
392,Exterior Color,BLACK
393,Exterior Color,BLACK
393,Upholstery Type,BLACK
394,Upholstery Type,RED
394,Exterior Color,SILVER
395,Upholstery Type,BLACK
395,Exterior Color,BLACK
396,Exterior Color,GREY
396,Upholstery Type,BLACK
397,Upholstery Type,BROWN
397,Exterior Color,GREY
398,Upholstery Type,BLACK
398,Exterior Color,WHITE
399,Upholstery Type,BLACK
399,Exterior Color,GREY
400,Upholstery Type,BLACK
400,Exterior Color,GREY
401,Upholstery Type,BLACK
401,Exterior Color,BLUE
402,Exterior Color,BLACK
402,Upholstery Type,BLACK
403,Upholstery Type,BLACK
403,Exterior Color,BLACK
404,Exterior Color,BLACK
404,Upholstery Type,BROWN
405,Exterior Color,WHITE
405,Upholstery Type,BROWN
406,Exterior Color,BLACK
406,Upholstery Type,BROWN
407,Upholstery Type,UNDEF
407,Exterior Color,UNDEF
408,Upholstery Type,GREY
408,Exterior Color,RED
409,Upholstery Type,BEIGE
409,Exterior Color,GREY
410,Upholstery Type,RED
410,Exterior Color,BLACK
411,Exterior Color,BLACK
411,Upholstery Type,BLACK
412,Upholstery Type,BEIGE
412,Exterior Color,WHITE
